id,type
539,paid
540,free
541,paid
542,free
543,free
544,paid
545,free
546,paid
547,free
548,paid
549,free
550,paid
551,free
552,paid
553,paid
554,free
555,free
556,paid
557,free
558,free
559,paid
560,paid
561,free
562,paid
563,free
564,paid
565,free
566,paid
567,paid
568,paid
569,paid
570,free
571,paid
572,paid
573,free
574,paid
575,paid
576,paid
577,free
578,paid
579,free
580,paid
581,free
582,free
583,paid
584,paid
585,paid
586,free
587,paid
588,free
589,paid
590,paid
591,free
592,free
593,free
594,free
595,paid
596,free
597,paid
598,paid
599,paid
600,paid
601,paid
602,free
603,free
604,paid
605,paid
606,paid
607,paid
608,paid
609,paid
610,paid
611,paid
612,free
613,free
614,free
615,paid
616,paid
617,paid
618,paid
619,paid
620,paid
621,paid
622,paid
623,paid
624,free
625,paid
626,free
627,paid
628,paid
629,free
630,free
631,paid
632,paid
633,free
634,paid
635,paid
636,paid
637,free
638,paid
639,free
640,paid
641,free
642,paid
643,paid
644,free
645,paid
646,free
647,paid
648,paid
649,free
650,paid
651,free
652,free
653,paid
654,paid
655,paid
656,paid
657,free
658,paid
659,free
660,free
661,paid
662,paid
663,paid
664,paid
665,paid
666,free
667,paid
668,free
669,free
670,paid
671,free
672,free
673,paid
674,paid
675,free
676,free
677,paid
678,free
679,paid
680,free
681,paid
682,free
683,free
684,paid
685,paid
686,paid
687,free
688,paid
689,paid
690,free
691,paid
692,free
693,free
694,free
695,free
696,free
697,paid
698,free
699,paid
700,free
701,free
702,free
703,paid
704,paid
705,free
706,paid
707,free
708,paid
709,paid
710,paid
711,free
712,free
713,paid
714,paid
715,free
716,free
717,free
718,free
719,free
720,paid
721,paid
722,paid
723,paid
724,paid
725,free
726,paid
727,free
728,free
729,free
730,free
731,paid
732,paid
733,free
734,free
735,paid
736,paid
737,free
738,paid
739,free
740,free
741,free
742,free
743,free
744,free
745,paid
746,free
747,free
748,free
749,free
750,paid
751,paid
752,paid
753,free
754,free
755,paid
756,free
757,free
758,paid
759,paid
760,free
761,free
762,free
763,free
764,paid
765,free
766,paid
767,free
768,paid
769,free
770,free
771,free
772,free
773,free
774,free
775,free
776,paid
777,paid
778,free
779,free
780,paid
781,free
782,free
783,free
784,paid
785,paid
786,free
787,paid
788,free
789,paid
790,paid
791,paid
792,free
793,free
794,paid
795,paid
796,free
797,free
798,paid
799,paid
800,free
801,free
802,free
803,paid
804,paid
805,paid
806,free
807,free
808,paid
809,free
810,free
811,free
812,paid
813,free
814,paid
815,paid
816,paid
817,paid
818,free
819,free
820,paid
821,paid
822,free
823,paid
824,paid
825,free
826,paid
827,free
828,paid
829,paid
830,paid
831,free
832,paid
833,free
834,paid
835,free
836,paid
837,paid
838,paid
839,free
840,paid
841,paid
842,free
843,free
844,free
845,paid
846,paid
847,paid
848,paid
849,free
850,free
851,free
852,paid
853,paid
854,free
855,free
856,free
857,free
858,paid
859,free
860,free
861,paid
862,free
863,paid
864,paid
865,paid
866,free
867,paid
868,free
869,paid
870,paid
871,paid
872,free
873,paid
874,free
875,paid
876,free
877,free
878,paid
879,paid
880,free
881,free
882,free
883,free
884,paid
885,free
886,free
887,free
888,free
889,paid
890,paid
891,paid
892,free
893,free
894,free
895,paid
896,free
897,free
898,paid
899,paid
900,free
901,free
902,free
903,paid
904,free
905,free
906,free
907,free
908,paid
909,paid
910,paid
911,paid
912,paid
913,free
914,paid
915,paid
916,paid
917,paid
918,free
919,paid
920,free
921,paid
922,paid
923,paid
924,paid
925,free
926,free
927,paid
928,paid
929,free
930,paid
931,free
932,free
933,paid
934,free
935,free
936,paid
937,free
938,paid
939,paid
940,paid
941,free
942,paid
943,paid
944,paid
945,free
946,free
947,paid
948,free
949,paid
950,free
951,free
952,free
953,paid
954,paid
955,free
956,free
957,paid
958,paid
959,free
960,paid
961,free
962,free
963,free
964,free
965,paid
966,free
967,paid
968,paid
969,free
970,free
971,free
972,paid
973,free
974,free
975,paid
976,paid
977,paid
978,free
979,free
980,paid
981,free
982,paid
983,free
984,paid
985,free
986,paid
987,paid
988,free
989,free
990,free
991,free
992,free
993,paid
994,paid
995,free
996,free
997,free
998,free
999,paid
1000,free
